NUM_PLAYERS,ROUND_NUM,CLASS,,NP / RN,NP / MAX_S,E > F,TEST,PROB,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
16,5,NONE_CONVERGED,FALSE,3.2,4,FALSE,TRUE,0,4,4,0,4,3
16,6,NONE_CONVERGED,FALSE,2.66666666666667,4,FALSE,TRUE,0,4,4,0,4,3
17,2,ALL_CONVERGED,TRUE,8.5,4.25,TRUE,TRUE,1,5,2,3,4,3
17,4,NONE_CONVERGED,FALSE,4.25,4.25,FALSE,TRUE,0,5,2,3,4,3
17,5,NONE_CONVERGED,FALSE,3.4,4.25,FALSE,TRUE,0,5,2,3,4,3
17,6,NONE_CONVERGED,FALSE,2.83333333333333,4.25,FALSE,TRUE,0,5,2,3,4,3
18,2,ALL_CONVERGED,TRUE,9,4.5,TRUE,TRUE,1,5,3,2,4,3
18,4,NONE_CONVERGED,FALSE,4.5,4.5,FALSE,TRUE,0,5,3,2,4,3
18,5,NONE_CONVERGED,FALSE,3.6,4.5,FALSE,TRUE,0,5,3,2,4,3
18,6,NONE_CONVERGED,FALSE,3,4.5,FALSE,TRUE,0,5,3,2,4,3
19,2,ALL_CONVERGED,TRUE,9.5,4.75,TRUE,TRUE,1,5,4,1,4,3
19,4,NONE_CONVERGED,FALSE,4.75,4.75,FALSE,TRUE,0,5,4,1,4,3
19,5,NONE_CONVERGED,FALSE,3.8,4.75,FALSE,TRUE,0,5,4,1,4,3
19,6,NONE_CONVERGED,FALSE,3.16666666666667,4.75,FALSE,TRUE,0,5,4,1,4,3
20,2,ALL_CONVERGED,TRUE,10,5,TRUE,TRUE,1,5,5,0,4,3
20,4,NONE_CONVERGED,FALSE,5,5,FALSE,TRUE,0,5,5,0,4,3
20,5,NONE_CONVERGED,FALSE,4,5,FALSE,TRUE,0,5,5,0,4,3
20,6,NONE_CONVERGED,FALSE,3.33333333333333,5,FALSE,TRUE,0,5,5,0,4,3
21,2,ALL_CONVERGED,TRUE,10.5,5.25,TRUE,TRUE,1,6,3,3,4,3
21,4,NONE_CONVERGED,FALSE,5.25,5.25,FALSE,TRUE,0,6,3,3,4,3
21,5,NONE_CONVERGED,FALSE,4.2,5.25,FALSE,TRUE,0,6,3,3,4,3
21,6,NONE_CONVERGED,FALSE,3.5,5.25,FALSE,TRUE,0,6,3,3,4,3
22,2,ALL_CONVERGED,TRUE,11,5.5,TRUE,TRUE,1,6,4,2,4,3
