NUM_PLAYERS,ROUND_NUM,CLASS,,NP / RN,NP / MAX_S,E > F,TEST,PROB,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
39,3,ALL_CONVERGED,TRUE,13,9.75,TRUE,TRUE,1,10,9,1,4,3
39,5,NONE_CONVERGED,FALSE,7.8,9.75,FALSE,TRUE,0,10,9,1,4,3
39,6,NONE_CONVERGED,FALSE,6.5,9.75,FALSE,TRUE,0,10,9,1,4,3
40,2,ALL_CONVERGED,TRUE,20,10,TRUE,TRUE,1,10,10,0,4,3
40,3,ALL_CONVERGED,TRUE,13.3333333333333,10,TRUE,TRUE,1,10,10,0,4,3
40,5,NONE_CONVERGED,FALSE,8,10,FALSE,TRUE,0,10,10,0,4,3
40,6,NONE_CONVERGED,FALSE,6.66666666666667,10,FALSE,TRUE,0,10,10,0,4,3
41,2,ALL_CONVERGED,TRUE,20.5,10.25,TRUE,TRUE,1,11,8,3,4,3
41,3,ALL_CONVERGED,TRUE,13.6666666666667,10.25,TRUE,TRUE,1,11,8,3,4,3
41,5,NONE_CONVERGED,FALSE,8.2,10.25,FALSE,TRUE,0,11,8,3,4,3
41,6,NONE_CONVERGED,FALSE,6.83333333333333,10.25,FALSE,TRUE,0,11,8,3,4,3
42,2,ALL_CONVERGED,TRUE,21,10.5,TRUE,TRUE,1,11,9,2,4,3
42,3,ALL_CONVERGED,TRUE,14,10.5,TRUE,TRUE,1,11,9,2,4,3
42,5,NONE_CONVERGED,FALSE,8.4,10.5,FALSE,TRUE,0,11,9,2,4,3
42,6,NONE_CONVERGED,FALSE,7,10.5,FALSE,TRUE,0,11,9,2,4,3
43,2,ALL_CONVERGED,TRUE,21.5,10.75,TRUE,TRUE,1,11,10,1,4,3
43,3,ALL_CONVERGED,TRUE,14.3333333333333,10.75,TRUE,TRUE,1,11,10,1,4,3
43,5,NONE_CONVERGED,FALSE,8.6,10.75,FALSE,TRUE,0,11,10,1,4,3
43,6,NONE_CONVERGED,FALSE,7.16666666666667,10.75,FALSE,TRUE,0,11,10,1,4,3
44,2,ALL_CONVERGED,TRUE,22,11,TRUE,TRUE,1,11,11,0,4,3
44,3,ALL_CONVERGED,TRUE,14.6666666666667,11,TRUE,TRUE,1,11,11,0,4,3
44,5,NONE_CONVERGED,FALSE,8.8,11,FALSE,TRUE,0,11,11,0,4,3
44,6,NONE_CONVERGED,FALSE,7.33333333333333,11,FALSE,TRUE,0,11,11,0,4,3
45,2,ALL_CONVERGED,TRUE,22.5,11.25,TRUE,TRUE,1,12,9,3,4,3
45,3,ALL_CONVERGED,TRUE,15,11.25,TRUE,TRUE,1,12,9,3,4,3
45,5,NONE_CONVERGED,FALSE,9,11.25,FALSE,TRUE,0,12,9,3,4,3
45,6,NONE_CONVERGED,FALSE,7.5,11.25,FALSE,TRUE,0,12,9,3,4,3
46,2,ALL_CONVERGED,TRUE,23,11.5,TRUE,TRUE,1,12,10,2,4,3
46,3,ALL_CONVERGED,TRUE,15.3333333333333,11.5,TRUE,TRUE,1,12,10,2,4,3
46,5,NONE_CONVERGED,FALSE,9.2,11.5,FALSE,TRUE,0,12,10,2,4,3
46,6,NONE_CONVERGED,FALSE,7.66666666666667,11.5,FALSE,TRUE,0,12,10,2,4,3
47,2,ALL_CONVERGED,TRUE,23.5,11.75,TRUE,TRUE,1,12,11,1,4,3
47,3,ALL_CONVERGED,TRUE,15.6666666666667,11.75,TRUE,TRUE,1,12,11,1,4,3
47,5,NONE_CONVERGED,FALSE,9.4,11.75,FALSE,TRUE,0,12,11,1,4,3
47,6,NONE_CONVERGED,FALSE,7.83333333333333,11.75,FALSE,TRUE,0,12,11,1,4,3
48,2,ALL_CONVERGED,TRUE,24,12,TRUE,TRUE,1,12,12,0,4,3
48,3,ALL_CONVERGED,TRUE,16,12,TRUE,TRUE,1,12,12,0,4,3
48,5,NONE_CONVERGED,FALSE,9.6,12,FALSE,TRUE,0,12,12,0,4,3
48,6,NONE_CONVERGED,FALSE,8,12,FALSE,TRUE,0,12,12,0,4,3
49,2,ALL_CONVERGED,TRUE,24.5,12.25,TRUE,TRUE,1,13,10,3,4,3
49,3,ALL_CONVERGED,TRUE,16.3333333333333,12.25,TRUE,TRUE,1,13,10,3,4,3
49,4,NONE_CONVERGED,FALSE,12.25,12.25,FALSE,TRUE,0,13,10,3,4,3
49,5,NONE_CONVERGED,FALSE,9.8,12.25,FALSE,TRUE,0,13,10,3,4,3
49,6,NONE_CONVERGED,FALSE,8.16666666666667,12.25,FALSE,TRUE,0,13,10,3,4,3
50,2,ALL_CONVERGED,TRUE,25,12.5,TRUE,TRUE,1,13,11,2,4,3
50,3,ALL_CONVERGED,TRUE,16.6666666666667,12.5,TRUE,TRUE,1,13,11,2,4,3
50,5,NONE_CONVERGED,FALSE,10,12.5,FALSE,TRUE,0,13,11,2,4,3
50,6,NONE_CONVERGED,FALSE,8.33333333333333,12.5,FALSE,TRUE,0,13,11,2,4,3
51,2,ALL_CONVERGED,TRUE,25.5,12.75,TRUE,TRUE,1,13,12,1,4,3
51,3,ALL_CONVERGED,TRUE,17,12.75,TRUE,TRUE,1,13,12,1,4,3
51,6,NONE_CONVERGED,FALSE,8.5,12.75,FALSE,TRUE,0,13,12,1,4,3
52,2,ALL_CONVERGED,TRUE,26,13,TRUE,TRUE,1,13,13,0,4,3
52,3,ALL_CONVERGED,TRUE,17.3333333333333,13,TRUE,TRUE,1,13,13,0,4,3
52,5,NONE_CONVERGED,FALSE,10.4,13,FALSE,TRUE,0,13,13,0,4,3
52,6,NONE_CONVERGED,FALSE,8.66666666666667,13,FALSE,TRUE,0,13,13,0,4,3
53,2,ALL_CONVERGED,TRUE,26.5,13.25,TRUE,TRUE,1,14,11,3,4,3
53,3,ALL_CONVERGED,TRUE,17.6666666666667,13.25,TRUE,TRUE,1,14,11,3,4,3
53,5,NONE_CONVERGED,FALSE,10.6,13.25,FALSE,TRUE,0,14,11,3,4,3
53,6,NONE_CONVERGED,FALSE,8.83333333333333,13.25,FALSE,TRUE,0,14,11,3,4,3
54,2,ALL_CONVERGED,TRUE,27,13.5,TRUE,TRUE,1,14,12,2,4,3
54,3,ALL_CONVERGED,TRUE,18,13.5,TRUE,TRUE,1,14,12,2,4,3
54,5,NONE_CONVERGED,FALSE,10.8,13.5,FALSE,TRUE,0,14,12,2,4,3
54,6,NONE_CONVERGED,FALSE,9,13.5,FALSE,TRUE,0,14,12,2,4,3
55,2,ALL_CONVERGED,TRUE,27.5,13.75,TRUE,TRUE,1,14,13,1,4,3
55,3,ALL_CONVERGED,TRUE,18.3333333333333,13.75,TRUE,TRUE,1,14,13,1,4,3
55,5,NONE_CONVERGED,FALSE,11,13.75,FALSE,TRUE,0,14,13,1,4,3
55,6,NONE_CONVERGED,FALSE,9.16666666666667,13.75,FALSE,TRUE,0,14,13,1,4,3
56,2,ALL_CONVERGED,TRUE,28,14,TRUE,TRUE,1,14,14,0,4,3
56,3,ALL_CONVERGED,TRUE,18.6666666666667,14,TRUE,TRUE,1,14,14,0,4,3
56,6,NONE_CONVERGED,FALSE,9.33333333333333,14,FALSE,TRUE,0,14,14,0,4,3
57,2,ALL_CONVERGED,TRUE,28.5,14.25,TRUE,TRUE,1,15,12,3,4,3
57,3,ALL_CONVERGED,TRUE,19,14.25,TRUE,TRUE,1,15,12,3,4,3
57,5,NONE_CONVERGED,FALSE,11.4,14.25,FALSE,TRUE,0,15,12,3,4,3
57,6,NONE_CONVERGED,FALSE,9.5,14.25,FALSE,TRUE,0,15,12,3,4,3
58,2,ALL_CONVERGED,TRUE,29,14.5,TRUE,TRUE,1,15,13,2,4,3
58,3,ALL_CONVERGED,TRUE,19.3333333333333,14.5,TRUE,TRUE,1,15,13,2,4,3
58,5,NONE_CONVERGED,FALSE,11.6,14.5,FALSE,TRUE,0,15,13,2,4,3
58,6,NONE_CONVERGED,FALSE,9.66666666666667,14.5,FALSE,TRUE,0,15,13,2,4,3
59,2,ALL_CONVERGED,TRUE,29.5,14.75,TRUE,TRUE,1,15,14,1,4,3
59,3,ALL_CONVERGED,TRUE,19.6666666666667,14.75,TRUE,TRUE,1,15,14,1,4,3
59,6,NONE_CONVERGED,FALSE,9.83333333333333,14.75,FALSE,TRUE,0,15,14,1,4,3
60,2,ALL_CONVERGED,TRUE,30,15,TRUE,TRUE,1,15,15,0,4,3
60,3,ALL_CONVERGED,TRUE,20,15,TRUE,TRUE,1,15,15,0,4,3
60,5,NONE_CONVERGED,FALSE,12,15,FALSE,TRUE,0,15,15,0,4,3
60,6,NONE_CONVERGED,FALSE,10,15,FALSE,TRUE,0,15,15,0,4,3
61,2,ALL_CONVERGED,TRUE,30.5,15.25,TRUE,TRUE,1,16,13,3,4,3
61,3,ALL_CONVERGED,TRUE,20.3333333333333,15.25,TRUE,TRUE,1,16,13,3,4,3
61,5,NONE_CONVERGED,FALSE,12.2,15.25,FALSE,TRUE,0,16,13,3,4,3
