ROUND_NUM,NUM_PLAYERS,AVG_META_PCT_NONE,AVG_META_PCT_FAIR,AVG_META_PCT_PERFECT,AVG_SCORE,AVG_GOOD_SEAT_PCT
2,10,0.875,0.0,0.125,4.61662,0.3675
7,100,0.025,0.0,0.975,0.07565,0.997
8,101,0.05,0.0,0.95,0.05776,0.99839
4,102,0.075,0.0,0.925,0.19285,0.99461
8,103,0.075,0.0,0.925,0.24139,0.99235
7,104,0.0625,0.0,0.9375,0.16646,0.99363
7,105,0.0625,0.0,0.9375,0.17247,0.99488
8,106,0.05,0.0,0.95,0.06038,0.99847
8,107,0.0375,0.0,0.9625,0.16561,0.99486
8,108,0.0125,0.0,0.9875,0.03172,0.99861
8,109,0.025,0.0,0.975,0.07259,0.99817
2,11,0.875,0.0,0.125,5.28457,0.32841
8,110,0.0125,0.0,0.9875,0.0845,0.99795
8,111,0.0625,0.0,0.9375,0.14563,0.9955
8,112,0.025,0.0,0.975,0.09473,0.99676
8,113,0.025,0.0,0.975,0.16346,0.99668
7,114,0.0125,0.0,0.9875,0.02685,0.99912
1,115,0.0,0.0,1.0,0.0,1.0
7,116,0.025,0.0,0.975,0.07844,0.9972
8,117,0.0375,0.0,0.9625,0.09796,0.99797
8,118,0.0375,0.0,0.9625,0.07422,0.99905
1,119,0.0,0.0,1.0,0.0,1.0
2,12,0.875,0.0,0.125,5.97624,0.29479
7,120,0.05,0.0,0.95,0.15776,0.99552
8,121,0.075,0.0,0.925,0.15433,0.99669
1,122,0.0,0.0,1.0,0.0,1.0
7,123,0.0125,0.0,0.9875,0.03891,0.99888
8,124,0.025,0.0,0.975,0.01762,0.99839
7,125,0.0125,0.0,0.9875,0.00994,0.9999
8,126,0.025,0.0,0.975,0.01987,0.9998
6,127,0.0125,0.0,0.9875,0.00994,0.9999
2,13,0.7625,0.0,0.2375,3.71914,0.4625
3,14,0.7625,0.0,0.2375,4.12278,0.46786
3,15,0.75,0.0,0.25,4.56034,0.425
4,16,0.65,0.0,0.35,4.80037,0.45
4,17,0.7125,0.0,0.2875,3.74329,0.53529
4,18,0.7,0.0,0.3,4.19307,0.51458
3,19,0.7375,0.0,0.2625,4.32271,0.49211
3,20,0.7375,0.0,0.2625,4.70749,0.47813
3,21,0.65,0.0,0.35,3.88837,0.59881
4,22,0.7,0.0,0.3,4.30358,0.55909
3,23,0.65,0.0,0.35,4.2559,0.56304
4,24,0.6375,0.0,0.3625,4.37965,0.54167
4,25,0.65,0.0,0.35,3.84501,0.6495
4,26,0.6375,0.0,0.3625,3.91777,0.64038
4,27,0.625,0.0,0.375,3.94225,0.62593
4,28,0.6,0.0,0.4,4.03159,0.6067
4,29,0.625,0.0,0.375,3.51436,0.7194
4,30,0.6125,0.0,0.3875,3.61268,0.6975
4,31,0.6125,0.0,0.3875,3.69358,0.67903
5,32,0.5375,0.0,0.4625,3.35891,0.68516
4,33,0.6125,0.0,0.3875,3.4904,0.74773
4,34,0.625,0.0,0.375,3.22121,0.74779
5,35,0.5625,0.0,0.4375,2.98048,0.755
6,36,0.475,0.0,0.525,2.89673,0.7434
5,37,0.575,0.0,0.425,3.00318,0.80304
4,38,0.6125,0.0,0.3875,2.86089,0.7898
5,39,0.55,0.0,0.45,2.46237,0.80449
5,40,0.45,0.0,0.55,2.26493,0.80937
4,41,0.5125,0.0,0.4875,2.59669,0.83384
4,42,0.55,0.0,0.45,2.16237,0.84554
6,43,0.5,0.0,0.5,2.19349,0.84593
6,44,0.3375,0.0,0.6625,1.98066,0.85114
4,45,0.5,0.0,0.5,2.33173,0.85972
4,46,0.475,0.0,0.525,1.90116,0.87527
6,47,0.45,0.0,0.55,1.68318,0.88697
7,48,0.35,0.0,0.65,1.4523,0.88906
6,49,0.3875,0.0,0.6125,1.89566,0.90102
5,50,0.4375,0.0,0.5625,1.92239,0.88925
6,51,0.3625,0.0,0.6375,1.38768,0.91005
6,52,0.2875,0.0,0.7125,1.18819,0.91611
6,53,0.4,0.0,0.6,1.50334,0.91887
6,54,0.3625,0.0,0.6375,1.51476,0.9206
6,55,0.3625,0.0,0.6375,1.15596,0.93386
6,56,0.275,0.0,0.725,0.93853,0.93839
6,57,0.375,0.0,0.625,1.28491,0.93838
5,58,0.3625,0.0,0.6375,1.36266,0.93211
7,59,0.3,0.0,0.7,0.78751,0.95508
2,6,0.7,0.175,0.125,5.34838,0.60208
8,60,0.1875,0.0,0.8125,0.66681,0.95729
7,61,0.2875,0.0,0.7125,1.16365,0.94959
6,62,0.3125,0.0,0.6875,1.05649,0.95161
8,63,0.3125,0.0,0.6875,0.79342,0.95813
7,64,0.2125,0.0,0.7875,0.57718,0.96387
5,65,0.3125,0.0,0.6875,0.96402,0.95654
6,66,0.275,0.0,0.725,1.09684,0.95436
7,67,0.25,0.0,0.75,0.65707,0.96866
8,68,0.1125,0.0,0.8875,0.38486,0.98051
6,69,0.25,0.0,0.75,0.8901,0.96431
2,7,0.875,0.0,0.125,6.77171,0.31964
8,70,0.25,0.0,0.75,0.69707,0.97143
6,71,0.1875,0.0,0.8125,0.46895,0.97518
8,72,0.1125,0.0,0.8875,0.34296,0.98177
7,73,0.225,0.0,0.775,0.68945,0.97534
7,74,0.25,0.0,0.75,0.47197,0.98091
7,75,0.2,0.0,0.8,0.43083,0.98083
5,76,0.15,0.0,0.85,0.43046,0.97845
7,77,0.2,0.0,0.8,0.6987,0.97679
6,78,0.15,0.0,0.85,0.5402,0.98077
7,79,0.15,0.0,0.85,0.38238,0.98291
5,8,0.5125,0.3625,0.125,7.00192,0.66563
8,80,0.05,0.0,0.95,0.19066,0.99062
7,81,0.2125,0.0,0.7875,0.72794,0.97562
8,82,0.1375,0.0,0.8625,0.40028,0.98567
8,83,0.0625,0.0,0.9375,0.15154,0.99533
8,84,0.05,0.0,0.95,0.05946,0.99539
7,85,0.1125,0.0,0.8875,0.4048,0.98779
8,86,0.1375,0.0,0.8625,0.36442,0.98692
8,87,0.0875,0.0,0.9125,0.33906,0.98736
8,88,0.05,0.0,0.95,0.17854,0.99219
7,89,0.1,0.0,0.9,0.30069,0.99129
2,9,0.675,0.0625,0.2625,2.98141,0.57639
7,90,0.1375,0.0,0.8625,0.36592,0.98792
8,91,0.05,0.0,0.95,0.11475,0.99506
8,92,0.05,0.0,0.95,0.22854,0.99212
8,93,0.075,0.0,0.925,0.22392,0.99341
8,94,0.0625,0.0,0.9375,0.2232,0.99428
6,95,0.075,0.0,0.925,0.08307,0.99816
8,96,0.0625,0.0,0.9375,0.2031,0.99154
5,97,0.125,0.0,0.875,0.38765,0.98956
8,98,0.0625,0.0,0.9375,0.21379,0.9935
8,99,0.0375,0.0,0.9625,0.05805,0.99861
