DID_CONVERGE,META_DID_CONVERGE,META_PCT_CONVERGED,CLASS,META_CLASS,META_PCT_NONE,META_PCT_FAIR,META_PCT_PERFECT,SCORE,META_SCORE,ROUND_NUM,NUM_PLAYERS,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.05978,2,6,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,4.8551,2,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,4.8551,2,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,4.98335,1,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,4.81236,1,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.25982,4,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,4.94286,3,7,6,2,0,2,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
