ROUND_NUM,NUM_PLAYERS,AVG_META_PCT_NONE,AVG_META_PCT_FAIR,AVG_META_PCT_PERFECT,AVG_SCORE,AVG_GOOD_SEAT_PCT
1,6,0.0,0.0,1.0,0.0,1.0
2,6,0.04358,0.0082,0.94822,0.23523,0.97846
3,6,0.10656,0.008,0.88545,0.32904,0.96161
4,6,0.27669,0.0097,0.71361,1.03407,0.90066
5,6,0.35506,0.0068,0.63814,1.60376,0.84546
6,6,0.45382,0.0025,0.54368,2.24169,0.79012
7,6,0.56467,0.001,0.43433,3.11073,0.73305
8,6,0.69032,0.0037,0.30598,4.17621,0.67413
