ROUND_NUM,NUM_PLAYERS,AVG_META_PCT_NONE,AVG_META_PCT_FAIR,AVG_META_PCT_PERFECT,AVG_SCORE,AVG_GOOD_SEAT_PCT
6,22,1,0,0,6.92426,0.29546
7,22,1,0,0,7.50935,0.18514
8,22,1,0,0,7.94724,0.10809
1,23,0,0,1,0,1
2,23,0,0,1,0,1
3,23,0.2439,0,0.7561,0.15652,0.97879
4,23,1,0,0,2.70903,0.74762
5,23,1,0,0,7.20474,0.31548
6,23,1,0,0,7.59315,0.20997
7,23,1,0,0,7.74058,0.14846
8,23,1,0,0,8.28875,0.11453
1,24,0,0,1,0,1
2,24,0,0,1,0,1
3,24,0.14634,0,0.85366,0.09391,0.98781
4,24,1,0,0,1.97032,0.71646
5,24,1,0,0,6.31875,0.29218
6,24,1,0,0,8.85965,0.12195
7,24,1,0,0,8.70364,0.09299
8,24,1,0,0,8.83687,0.07876
1,25,0,0,1,0,1
2,25,0,0,1,0,1
3,25,0.04878,0,0.95122,0.0323,0.9961
4,25,1,0,0,3.97409,0.72878
5,25,1,0,0,5.66567,0.53902
6,25,1,0,0,6.11237,0.45268
7,25,1,0,0,7.06211,0.34098
8,25,1,0,0,7.71137,0.22341
1,26,0,0,1,0,1
2,26,0,0,1,0,1
3,26,0.03659,0,0.96341,0.02348,0.99719
4,26,1,0,0,2.70429,0.7969
5,26,1,0,0,5.85688,0.51829
6,26,1,0,0,7.02412,0.34897
7,26,1,0,0,7.70017,0.29456
8,26,1,0,0,8.15056,0.18715
1,27,0,0,1,0,1
2,27,0,0,1,0,1
3,27,0,0,1,0,1
4,27,0.97561,0,0.02439,1.90939,0.84869
5,27,1,0,0,4.90214,0.52665
6,27,1,0,0,7.76296,0.28275
7,27,1,0,0,8.46398,0.21319
8,27,1,0,0,8.74163,0.14679
1,28,0,0,1,0,1
2,28,0,0,1,0,1
3,28,0,0,1,0,1
4,28,0.79268,0,0.20732,0.89002,0.8689
5,28,1,0,0,4.705,0.49347
6,28,1,0,0,7.32329,0.26176
7,28,1,0,0,9.61766,0.12631
8,28,1,0,0,9.58053,0.09364
1,29,0,0,1,0,1
2,29,0,0,1,0,1
3,29,0.03659,0,0.96341,0.02348,0.99748
4,29,1,0,0,2.04298,0.87637
5,29,1,0,0,5.85655,0.58074
6,29,1,0,0,5.9439,0.5
7,29,1,0,0,7.22747,0.39823
8,29,1,0,0,7.93254,0.31287
1,30,0,0,1,0,1
2,30,0,0,1,0,1
3,30,0,0,1,0,1
4,30,0.97561,0,0.02439,1.69844,0.89472
5,30,1,0,0,3.73491,0.69553
6,30,1,0,0,7.40727,0.39797
7,30,1,0,0,7.85272,0.32764
8,30,1,0,0,8.35696,0.2565
1,31,0,0,1,0,1
2,31,0,0,1,0,1
3,31,0,0,1,0,1
4,31,0.96341,0,0.03659,1.14964,0.9343
5,31,1,0,0,3.5009,0.67821
6,31,1,0,0,5.53645,0.47522
7,31,1,0,0,8.99757,0.24036
8,31,1,0,0,9.08238,0.18843
1,32,0,0,1,0,1
2,32,0,0,1,0,1
3,32,0,0,1,0,1
4,32,0.31707,0,0.68293,0.21461,0.96761
5,32,0.97561,0,0.02439,3.03961,0.6795
6,32,1,0,0,6.37528,0.40854
7,32,1,0,0,8.06677,0.22713
8,32,1,0,0,10.60047,0.10785
1,33,0,0,1,0,1
2,33,0,0,1,0,1
3,33,0,0,1,0,1
4,33,0.96341,0,0.03659,1.38973,0.91722
5,33,1,0,0,3.07228,0.79712
6,33,1,0,0,6.91465,0.53289
7,33,1,0,0,7.99295,0.40872
8,33,1,0,0,8.37953,0.34812
1,34,0,0,1,0,1
2,34,0,0,1,0,1
3,34,0,0,1,0,1
4,34,0.92683,0,0.07317,0.90289,0.95552
5,34,1,0,0,2.79751,0.80595
6,34,1,0,0,5.06242,0.59469
7,34,1,0,0,8.01464,0.39813
8,34,1,0,0,8.54042,0.31707
1,35,0,0,1,0,1
2,35,0,0,1,0,1
3,35,0,0,1,0,1
4,35,0.84146,0,0.15854,0.79044,0.96376
5,35,0.97561,0,0.02439,2.41878,0.80662
6,35,1,0,0,5.08116,0.57143
7,35,1,0,0,6.80348,0.39652
8,35,1,0,0,9.49474,0.24042
1,36,0,0,1,0,1
2,36,0,0,1,0,1
3,36,0,0,1,0,1
4,36,0.06098,0,0.93902,0.02894,0.99593
5,36,0.89024,0,0.10976,1.40166,0.82012
6,36,1,0,0,4.52867,0.58198
7,36,1,0,0,7.86973,0.3418
8,36,1,0,0,8.83721,0.21511
1,37,0,0,1,0,1
2,37,0,0,1,0,1
3,37,0,0,1,0,1
4,37,0.76829,0,0.23171,0.82034,0.95616
5,37,1,0,0,2.47193,0.86124
6,37,1,0,0,4.58645,0.69743
7,37,1,0,0,8.10339,0.45979
8,37,1,0,0,8.13861,0.4087
1,38,0,0,1,0,1
2,38,0,0,1,0,1
3,38,0,0,1,0,1
4,38,0.79268,0,0.20732,0.70371,0.9724
5,38,0.95122,0,0.04878,1.88373,0.87965
6,38,1,0,0,3.99168,0.71887
7,38,1,0,0,6.48225,0.51733
8,38,1,0,0,8.87121,0.3604
1,39,0,0,1,0,1
2,39,0,0,1,0,1
3,39,0,0,1,0,1
4,39,0.70732,0,0.29268,0.63553,0.97624
5,39,0.93902,0,0.06098,1.47755,0.90088
6,39,0.97561,0,0.02439,3.71693,0.71263
7,39,1,0,0,6.33288,0.50563
8,39,1,0,0,7.43853,0.38493
1,40,0,0,1,0,1
2,40,0,0,1,0,1
3,40,0,0,1,0,1
4,40,0.02439,0,0.97561,0.01929,0.99756
5,40,0.40244,0,0.59756,0.38301,0.94695
6,40,1,0,0,3.12589,0.7128
7,40,1,0,0,6.56585,0.48232
8,40,1,0,0,8.40207,0.33018
1,41,0,0,1,0,1
2,41,0,0,1,0,1
3,41,0,0,1,0,1
4,41,0.56098,0,0.43902,0.44575,0.98275
5,41,0.91463,0,0.08537,1.91619,0.895
6,41,0.97561,0,0.02439,3.99749,0.7555
7,41,1,0,0,5.71446,0.62076
8,41,1,0,0,9.26231,0.40511
1,42,0,0,1,0,1
2,42,0,0,1,0,1
3,42,0,0,1,0,1
4,42,0.53659,0,0.46341,0.40849,0.98606
5,42,0.91463,0,0.08537,1.48853,0.91492
6,42,0.9878,0,0.0122,3.93759,0.74826
7,42,1,0,0,5.58786,0.61673
8,42,1,0,0,7.02628,0.49797
1,43,0,0,1,0,1
2,43,0,0,1,0,1
3,43,0,0,1,0,1
4,43,0.30488,0,0.69512,0.23749,0.99262
5,43,0.80488,0,0.19512,1.28116,0.92456
6,43,0.93902,0,0.06098,2.71174,0.80856
7,43,1,0,0,5.50639,0.59274
8,43,1,0,0,7.29014,0.4532
1,44,0,0,1,0,1
2,44,0,0,1,0,1
3,44,0,0,1,0,1
4,44,0,0,1,0,1
5,44,0.32927,0,0.67073,0.72525,0.93293
6,44,0.80488,0,0.19512,1.57082,0.8362
7,44,1,0,0,5.41788,0.60809
8,44,1,0,0,7.44587,0.44429
1,45,0,0,1,0,1
2,45,0,0,1,0,1
3,45,0,0,1,0,1
4,45,0.23171,0,0.76829,0.19871,0.99404
5,45,0.89024,0,0.10976,1.65293,0.91491
6,45,1,0,0,3.33809,0.80081
7,45,1,0,0,5.27258,0.6794
8,45,1,0,0,6.61272,0.57913
1,46,0,0,1,0,1
2,46,0,0,1,0,1
3,46,0,0,1,0,1
4,46,0.29268,0,0.70732,0.22779,0.99337
5,46,0.7561,0,0.2439,1.08039,0.94194
6,46,0.95122,0,0.04878,2.65458,0.83881
7,46,1,0,0,4.74609,0.7044
8,46,1,0,0,6.36994,0.57715
1,47,0,0,1,0,1
2,47,0,0,1,0,1
3,47,0,0,1,0,1
4,47,0.19512,0,0.80488,0.15511,0.99585
5,47,0.62195,0,0.37805,0.71645,0.96264
6,47,0.86585,0,0.13415,1.77167,0.88869
7,47,1,0,0,4.67689,0.6863
8,47,1,0,0,6.7087,0.54982
1,48,0,0,1,0,1
2,48,0,0,1,0,1
3,48,0,0,1,0,1
4,48,0.0122,0,0.9878,0.02412,0.99746
5,48,0.14634,0,0.85366,0.4155,0.96824
6,48,0.58537,0,0.41463,0.92285,0.89609
7,48,0.97561,0,0.02439,3.58358,0.72307
8,48,1,0,0,6.30608,0.55513
1,49,0,0,1,0,1
2,49,0,0,1,0,1
3,49,0,0,1,0,1
4,49,0.21951,0,0.78049,0.1745,0.99552
5,49,0.70732,0,0.29268,1.05778,0.95097
6,49,0.89024,0,0.10976,2.79285,0.85839
7,49,1,0,0,4.21928,0.76481
8,49,1,0,0,5.92606,0.65256
1,50,0,0,1,0,1
2,50,0,0,1,0,1
3,50,0,0,1,0,1
4,50,0.20732,0,0.79268,0.1648,0.99585
5,50,0.5122,0,0.4878,0.70245,0.96951
6,50,0.92683,0,0.07317,2.20943,0.88488
7,50,0.96341,0,0.03659,3.7219,0.77244
8,50,1,0,0,6.55059,0.59878
1,51,0,0,1,0,1
2,51,0,0,1,0,1
3,51,0,0,1,0,1
4,51,0.06098,0,0.93902,0.05817,0.99857
5,51,0.36585,0,0.63415,0.34994,0.98565
6,51,0.81707,0,0.18293,1.3954,0.91679
7,51,1,0,0,3.68706,0.76303
8,51,1,0,0,6.3607,0.60426
1,52,0,0,1,0,1
2,52,0,0,1,0,1
3,52,0,0,1,0,1
4,52,0,0,1,0,1
5,52,0.06098,0,0.93902,0.0647,0.99273
6,52,0.41463,0,0.58537,0.70663,0.92964
7,52,0.89024,0,0.10976,2.92546,0.77392
8,52,1,0,0,5.56156,0.6372
1,53,0,0,1,0,1
2,53,0,0,1,0,1
3,53,0,0,1,0,1
4,53,0.08537,0,0.91463,0.06786,0.99839
5,53,0.43902,0,0.56098,0.57878,0.98113
6,53,0.85366,0,0.14634,1.98515,0.90911
7,53,1,0,0,4.46,0.77174
8,53,1,0,0,6.125,0.66751
1,54,0,0,1,0,1
2,54,0,0,1,0,1
3,54,0,0,1,0,1
4,54,0.03659,0,0.96341,0.02908,0.99932
5,54,0.34146,0,0.65854,0.3792,0.98577
6,54,0.82927,0,0.17073,1.45171,0.9327
7,54,0.97561,0,0.02439,4.2166,0.77755
8,54,0.9878,0,0.0122,5.69894,0.68519
1,55,0,0,1,0,1
2,55,0,0,1,0,1
3,55,0,0,1,0,1
4,55,0.12195,0,0.87805,0.09694,0.99778
5,55,0.17073,0,0.82927,0.15975,0.99512
6,55,0.81707,0,0.18293,1.68619,0.90798
7,55,0.85366,0,0.14634,2.32623,0.85565
8,55,1,0,0,5.54324,0.67117
1,56,0,0,1,0,1
2,56,0,0,1,0,1
3,56,0,0,1,0,1
4,56,0.02439,0,0.97561,0.03376,0.99695
5,56,0.08537,0,0.91463,0.10422,0.98911
6,56,0.32927,0,0.67073,0.77368,0.93815
7,56,0.7439,0,0.2561,2.35955,0.83384
8,56,0.96341,0,0.03659,4.26172,0.72953
1,57,0,0,1,0,1
2,57,0,0,1,0,1
3,57,0,0,1,0,1
4,57,0.08537,0,0.91463,0.07756,0.99829
5,57,0.39024,0,0.60976,0.40306,0.98438
6,57,0.62195,0,0.37805,1.57299,0.9386
7,57,0.95122,0,0.04878,3.21331,0.84489
8,57,1,0,0,5.98547,0.70111
1,58,0,0,1,0,1
2,58,0,0,1,0,1
3,58,0,0,1,0,1
4,58,0.08537,0,0.91463,0.06786,0.99853
5,58,0.15854,0,0.84146,0.26537,0.99117
6,58,0.68293,0,0.31707,1.05922,0.95164
7,58,0.96341,0,0.03659,3.28125,0.83705
8,58,1,0,0,4.97911,0.73066
1,59,0,0,1,0,1
2,59,0,0,1,0,1
3,59,0,0,1,0,1
4,59,0.08537,0,0.91463,0.06786,0.99855
5,59,0.17073,0,0.82927,0.20422,0.99173
6,59,0.54878,0,0.45122,1.01696,0.95329
7,59,0.96341,0,0.03659,2.39507,0.8735
8,59,0.9878,0,0.0122,4.25412,0.76106
1,60,0,0,1,0,1
2,60,0,0,1,0,1
3,60,0,0,1,0,1
4,60,0,0,1,0,1
5,60,0.08537,0,0.91463,0.24055,0.98252
6,60,0.14634,0,0.85366,0.22372,0.9815
7,60,0.40244,0,0.59756,0.88327,0.93333
8,60,0.87805,0,0.12195,3.24184,0.79228
1,61,0,0,1,0,1
2,61,0,0,1,0,1
3,61,0,0,1,0,1
4,61,0.06098,0,0.93902,0.04847,0.999
5,61,0.15854,0,0.84146,0.1556,0.9942
6,61,0.63415,0,0.36585,1.47252,0.93963
7,61,0.86585,0,0.13415,2.56156,0.87685
8,61,1,0,0,5.52567,0.7447
1,62,0,0,1,0,1
2,62,0,0,1,0,1
3,62,0,0,1,0,1
4,62,0.06098,0,0.93902,0.04847,0.99902
5,62,0.21951,0,0.78049,0.24328,0.99292
6,62,0.5,0,0.5,0.85523,0.96184
7,62,0.85366,0,0.14634,2.44216,0.89221
8,62,0.97561,0,0.02439,4.39011,0.78481
1,63,0,0,1,0,1
2,63,0,0,1,0,1
3,63,0,0,1,0,1
4,63,0.02439,0,0.97561,0.01939,0.99961
5,63,0.03659,0,0.96341,0.02908,0.99942
6,63,0.39024,0,0.60976,0.72324,0.96671
7,63,0.69512,0,0.30488,1.67256,0.91599
8,63,0.92683,0,0.07317,3.50472,0.81088
1,64,0,0,1,0,1
2,64,0,0,1,0,1
3,64,0,0,1,0,1
4,64,0,0,1,0,1
5,64,0.02439,0,0.97561,0.04042,0.99657
6,64,0.13415,0,0.86585,0.48055,0.97085
7,64,0.39024,0,0.60976,0.93969,0.93521
8,64,0.71951,0,0.28049,2.67027,0.84432
1,65,0,0,1,0,1
2,65,0,0,1,0,1
3,65,0,0,1,0,1
4,65,0.03659,0,0.96341,0.02908,0.99944
5,65,0.07317,0,0.92683,0.05194,0.99869
6,65,0.37805,0,0.62195,0.82432,0.97054
7,65,0.78049,0,0.21951,2.39398,0.90375
8,65,1,0,0,4.54239,0.79869
1,66,0,0,1,0,1
2,66,0,0,1,0,1
3,66,0,0,1,0,1
4,66,0.0122,0,0.9878,0.00969,0.99982
5,66,0.10976,0,0.89024,0.19029,0.99353
6,66,0.28049,0,0.71951,0.29588,0.98984
7,66,0.80488,0,0.19512,2.13051,0.91279
8,66,0.97561,0,0.02439,4.89137,0.77698
1,67,0,0,1,0,1
2,67,0,0,1,0,1
3,67,0,0,1,0,1
4,67,0.02439,0,0.97561,0.01939,0.99964
5,67,0.07317,0,0.92683,0.12083,0.99454
6,67,0.28049,0,0.71951,0.357,0.98689
7,67,0.64634,0,0.35366,1.19377,0.94521
8,67,0.93902,0,0.06098,3.35184,0.832
1,68,0,0,1,0,1
2,68,0,0,1,0,1
3,68,0,0,1,0,1
4,68,0,0,1,0,1
5,68,0,0,1,0,1
6,68,0.14634,0,0.85366,0.14393,0.98332
7,68,0.26829,0,0.73171,0.59561,0.95929
8,68,0.76829,0,0.23171,2.8397,0.8472
1,69,0,0,1,0,1
2,69,0,0,1,0,1
3,69,0,0,1,0,1
4,69,0.03659,0,0.96341,0.02908,0.99947
5,69,0.07317,0,0.92683,0.13531,0.9954
6,69,0.14634,0,0.85366,0.18891,0.99364
7,69,0.79268,0,0.20732,2.28062,0.91463
8,69,0.91463,0,0.08537,4.1941,0.83369
1,70,0,0,1,0,1
2,70,0,0,1,0,1
3,70,0,0,1,0,1
4,70,0.02439,0,0.97561,0.01939,0.99965
5,70,0.03659,0,0.96341,0.02908,0.99948
6,70,0.2561,0,0.7439,0.3958,0.98658
7,70,0.60976,0,0.39024,1.78694,0.9277
8,70,0.95122,0,0.04878,3.60576,0.84808
1,71,0,0,1,0,1
2,71,0,0,1,0,1
3,71,0,0,1,0,1
4,71,0.02439,0,0.97561,0.01939,0.99966
5,71,0.03659,0,0.96341,0.02908,0.99948
6,71,0.20732,0,0.79268,0.42731,0.98317
7,71,0.5122,0,0.4878,1.10345,0.95122
