ROUND_NUM,NUM_PLAYERS,AVG_META_PCT_NONE,AVG_META_PCT_FAIR,AVG_META_PCT_PERFECT,AVG_SCORE,AVG_GOOD_SEAT_PCT
1,10,0.0,0.0,1.0,0.0,1.0
1,100,0.0,0.0,1.0,0.0,1.0
1,101,0.0,0.0,1.0,0.0,1.0
1,102,0.0,0.0,1.0,0.0,1.0
1,103,0.0,0.0,1.0,0.0,1.0
1,104,0.0,0.0,1.0,0.0,1.0
1,105,0.0,0.0,1.0,0.0,1.0
1,106,0.0,0.0,1.0,0.0,1.0
1,107,0.0,0.0,1.0,0.0,1.0
1,108,0.0,0.0,1.0,0.0,1.0
1,109,0.0,0.0,1.0,0.0,1.0
1,11,0.0,0.0,1.0,0.0,1.0
1,110,0.0,0.0,1.0,0.0,1.0
1,111,0.0,0.0,1.0,0.0,1.0
1,112,0.0,0.0,1.0,0.0,1.0
1,113,0.0,0.0,1.0,0.0,1.0
1,114,0.0,0.0,1.0,0.0,1.0
1,115,0.0,0.0,1.0,0.0,1.0
1,116,0.0,0.0,1.0,0.0,1.0
1,117,0.0,0.0,1.0,0.0,1.0
1,118,0.0,0.0,1.0,0.0,1.0
1,119,0.0,0.0,1.0,0.0,1.0
1,12,0.0,0.0,1.0,0.0,1.0
1,120,0.0,0.0,1.0,0.0,1.0
1,121,0.0,0.0,1.0,0.0,1.0
1,122,0.0,0.0,1.0,0.0,1.0
1,123,0.0,0.0,1.0,0.0,1.0
1,124,0.0,0.0,1.0,0.0,1.0
1,125,0.0,0.0,1.0,0.0,1.0
1,126,0.0,0.0,1.0,0.0,1.0
1,127,0.0,0.0,1.0,0.0,1.0
1,13,0.0,0.0,1.0,0.0,1.0
1,14,0.0,0.0,1.0,0.0,1.0
1,15,0.0,0.0,1.0,0.0,1.0
1,16,0.0,0.0,1.0,0.0,1.0
1,17,0.0,0.0,1.0,0.0,1.0
1,18,0.0,0.0,1.0,0.0,1.0
1,19,0.0,0.0,1.0,0.0,1.0
1,20,0.0,0.0,1.0,0.0,1.0
1,21,0.0,0.0,1.0,0.0,1.0
