DID_CONVERGE,META_DID_CONVERGE,META_PCT_CONVERGED,CLASS,META_CLASS,META_PCT_NONE,META_PCT_FAIR,META_PCT_PERFECT,SCORE,META_SCORE,GOOD_SEAT_PCT,ROUND_NUM,NUM_PLAYERS,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,4.8551,2,0.33333,7,6,2,0,2,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.05975,1,0.14286,2,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.89845,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.89845,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.56638,1,0.14286,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.39729,1,0.14286,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.89845,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.89845,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.89845,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.15557,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.89845,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.89845,2,0.28571,3,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.1477,1,0.14286,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.89758,1,0.14286,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.07864,3,0.42857,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.0332,1,0.14286,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.11703,1,0.14286,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.01366,1,0.14286,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.93498,1,0.14286,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,5.87136,3,0.42857,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.01366,1,0.14286,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.13189,3,0.42857,4,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.44443,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.42136,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.98592,2,0.28571,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.73363,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.64612,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.87056,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.61838,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.99555,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.06567,1,0.14286,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.97633,2,0.28571,5,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.70148,1,0.14286,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.40983,1,0.14286,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.13874,1,0.14286,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.63222,1,0.14286,6,7,2,1,1,4,3
